#SECTIONS,DULL,H23/PC‐RAL,"SAHRA/BRN",BLACK/MULTI,WOODCOAT
Angle1-1/4 (6MM),460,462,494,517,578
GE-3 (1.2mm),157,158,169,177,198
Angle2*2 (3MM),380,382,409,428,478
GE-4 (1.6mm),617,619,662,693,774
Angle2*2 (6MM),820,822,880,921,1028
GE-7 (1.6mm),758,760,813,851,950
GE-8 (1.2mm),202,203,217,227,254
L 39 (1.2mm),174,175,187,196,219
GE-9 (1.2mm),141,142,152,159,178
L-39 A (1.2mm),304,306,327,343,383
GE-10 (1.6mm),601,603,645,675,754
L 39 (1.6mm),214,216,231,242,270
GE-11 (1.6mm),200,202,216,226,253
Louver (1.6mm),320,322,345,361,403
GE-12 (1.6mm),1170,1172,1254,1313,1465
Louver (1.6mm),545,547,585,613,684
GE-13 (2.5mm),116,117,125,131,146
GE-14 (1.6mm),660,662,708,741,828
B6 (1.2mm),107,108,116,121,135
Uper (1.2mm),132,133,142,149,166
U-1/2*3/4 (1.2mm),126,127,136,142,159
U-12x17mm (1.2mm),89,90,96,101,113
LK42 (1.2mm),224,225,241,252,281
AA51 (1.6mm),524,526,563,589,658


